Commit_Hash;Source;Factor;N;SamplesPerInput;Experiment;Target;RMSE_Marginal_Mean;RMSE_Marginal_Variance;RMSE_Marginal_Rho;RMSE_Marginal_Tau;RMSE_Msg_Mean;RMSE_Msg_Variance;RMSE_Msg_Rho;RMSE_Msg_Tau;MAE_Marginal_Mean;MAE_Marginal_Variance;MAE_Marginal_Rho;MAE_Marginal_Tau;MAE_Msg_Mean;MAE_Msg_Variance;MAE_Msg_Rho;MAE_Msg_Tau;MAPE_Marginal_Mean;MAPE_Marginal_Variance;MAPE_Marginal_Rho;MAPE_Marginal_Tau;MAPE_Msg_Mean;MAPE_Msg_Variance;MAPE_Msg_Rho;MAPE_Msg_Tau
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;10000;3;targets_Y;0.7392727;8.842448;0.020278813;1.172462;29.942362;3028.9055;0.020278813;1.172462;0.48408595;4.5735435;0.007075513;0.34909663;7.1531687;718.3868;0.007075513;0.34909663;0.045153264;0.0781691;0.07799048;0.110498354;0.46172842;0.68270457;0.401744;0.5787923
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;10000;1000;3;targets_X;7.6061325;78.249985;0.14635748;8.13749;3391.519;8775.182;0.14635748;8.13749;5.160773;46.430904;0.048458464;2.1937175;1617.0472;3801.2112;0.048458464;2.1937175;0.83424777;1.63644;0.7600503;1.299698;143.38022;110.822266;5.51372;21.020533
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;100000;1;targets_Z;0.16333888;2.870679;0.00050573825;0.12323683;9.483123;4787.42;0.00050573825;0.12323683;0.1233172;1.8924936;0.00015433879;0.039700318;5.3650193;2456.406;0.00015433879;0.039700318;0.005840316;0.010923024;0.0109365145;0.01576384;0.30052614;0.32568592;0.32983544;0.4463316
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;10000;1000;2;targets_X;3.2148798;28.555275;0.10916918;6.389715;145.68216;4208.3545;0.10916918;6.389715;2.0946164;15.575869;0.035338435;1.7913578;38.549526;1188.6482;0.035338435;1.7913578;0.3258515;0.30952948;0.40913942;0.7892571;2.5573304;2.3795402;1.9153355;2.9190485
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;2000;1000000;1;targets_X;0.026631484;0.3792643;0.00124545;0.058466364;1.1799616;464.21606;0.00124545;0.058466364;0.01768567;0.1991547;0.0003760452;0.018014347;0.2942823;64.53055;0.0003760452;0.018014347;0.0036252716;0.0037597737;0.0037592987;0.0068283817;0.015277298;0.03320817;0.03236082;0.03980535
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;5000;10000;2;targets_Y;0.7208245;8.597724;0.024019808;1.2122916;20.90219;2865.0369;0.024019808;1.2122916;0.47130734;4.4619107;0.0073874323;0.35195708;6.0971093;665.6977;0.0073874323;0.35195708;0.037766796;0.07762888;0.07790387;0.10146573;0.4930082;0.6527329;0.4117898;0.69706476
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;2000;1000000;3;targets_Z;0.04623117;0.90848005;0.00060894154;0.064421736;3.0708184;2464.7676;0.00060894154;0.064421736;0.034110162;0.6053528;7.115053e-5;0.017838482;1.6433781;1110.5728;7.115053e-5;0.017838482;0.00042348332;0.0036970475;0.0036990726;0.0038480381;0.024596525;0.13014396;0.13413605;0.14650574
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;100;1000000;2;targets_X;0.07254321;0.76453096;0.0046957727;0.2720348;17.589436;35.788227;0.0046957727;0.2720348;0.049732093;0.47542813;0.0015898709;0.07945623;4.7373695;10.535004;0.0015898709;0.07945623;0.0021639399;0.015828991;0.015634906;0.016148025;0.11125772;0.073654085;0.06954789;0.10245115
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;wsf;500;1000000;3;targets_Z;0.04692383;0.9093353;0.0001882714;0.043112002;2.730793;2685.5986;0.0001882714;0.043112002;0.034900755;0.59119016;6.633373e-5;0.016458943;1.6254972;1123.1716;6.633373e-5;0.016458943;0.00041808328;0.003614677;0.0036160783;0.0037329502;0.015187136;0.12490267;0.13278589;0.13468437
4955896c57f92eb8adef6e28813a984ba83b957f;Sampled_vs_Exact;gmf;5000;10000;3;targets_Y;1.3507904;32.915672;0.03460292;1.9950807;2262.6868;2543.2349;0.03460292;1.9950807;0.97991055;16.437128;0.015117705;0.6807714;621.0651;718.6976;0.015117705;0.6807714;1.5849552;0.6775903;0.22538291;2.391442;22.920807;25.991076;0.79994404;6.302947
