I,SoC,SoH,timestamp,DSoC,DQ
10.0,0.45171265623455326,0.6996910772594799,13.65,-0.0009022740918546962,9.677730514474752e-8
10.0,0.4508103821426986,0.6996909804821747,13.654166666666667,-0.0009022742166521534,9.677757405111185e-8
10.0,0.4499081079260464,0.6996908837046006,13.658333333333333,-0.0009022743414499917,9.6777842702603e-8
10.0,0.4490058335845964,0.6996907869267579,13.6625,-0.0009022744662482112,9.677811108283761e-8
10.0,0.4481035591183482,0.6996906901486468,13.666666666666666,-0.000902274591046811,9.677837918375581e-8
10.0,0.4472012845273014,0.6996905933702676,13.670833333333333,-0.0009022747158457913,9.677864702227215e-8
10.0,0.4462990098114556,0.6996904965916206,13.674999999999999,-0.0009022748406451513,9.677891459032486e-8
10.0,0.44539673497081045,0.6996903998127061,13.679166666666667,-0.0009022749654448909,9.67791818881777e-8
10.0,0.4444944600053656,0.6996903030335242,13.683333333333334,-0.0009022750902450098,9.677944891609262e-8
10.0,0.4435921849151206,0.6996902062540753,13.6875,-0.0009022752150455075,9.677971567433064e-8
10.0,0.4426899097000751,0.6996901094743596,13.691666666666666,-0.0009022753398463837,9.677998217980348e-8
10.0,0.4417876343602287,0.6996900126943775,13.695833333333333,-0.0009022754646476382,9.678024839947025e-8
10.0,0.44088535889558106,0.6996899159141291,13.7,-0.0009022755894492704,9.678051435024044e-8
10.0,0.4399830833061318,0.6996898191336147,13.704166666666666,-0.0009022757142512803,9.67807800573486e-8
10.0,0.4390808075918805,0.6996897223528347,13.708333333333334,-0.0009022758390536671,9.678104547110092e-8
10.0,0.43817853175282684,0.6996896255717892,13.7125,-0.000902275963856431,9.678131062505586e-8
10.0,0.4372762557889704,0.6996895287904785,13.716666666666667,-0.000902276088659571,9.678157551946954e-8
10.0,0.43637397970031083,0.699689432008903,13.720833333333333,-0.0009022762134630874,9.678184014627265e-8
10.0,0.43547170348684777,0.6996893352270629,13.725,-0.0009022763382669793,9.67821044973944e-8
10.0,0.43456942714858077,0.6996892384449583,13.729166666666666,-0.000902276463071247,9.678236859806585e-8
10.0,0.43366715068550954,0.6996891416625898,13.733333333333333,-0.0009022765878758894,9.678263242356419e-8
10.0,0.43276487409763365,0.6996890448799573,13.737499999999999,-0.0009022767126809067,9.67828959741417e-8
10.0,0.43186259738495275,0.6996889480970614,13.741666666666667,-0.0009022768374862983,9.678315928335365e-8
10.0,0.43096032054746647,0.6996888513139021,13.745833333333334,-0.0009022769622920641,9.678342230982285e-8
10.0,0.4300580435851744,0.6996887545304799,13.75,-0.0009022770870982035,9.678368507045192e-8
10.0,0.4291557664980762,0.6996886577467948,13.754166666666666,-0.0009022772119047164,9.67839475821421e-8
10.0,0.42825348928617146,0.6996885609628472,13.758333333333333,-0.0009022773367116022,9.678420982016589e-8
10.0,0.42735121194945985,0.6996884641786373,13.7625,-0.0009022774615188609,9.678447178477153e-8
10.0,0.42644893448794097,0.6996883673941655,13.766666666666666,-0.0009022775863264917,9.678473350951126e-8
10.0,0.4255466569016145,0.699688270609432,13.770833333333334,-0.0009022777111344949,9.678499495300263e-8
10.0,0.42464437919048,0.699688173824437,13.775,-0.0009022778359428693,9.678525613214429e-8
10.0,0.4237421013545371,0.6996880770391809,13.779166666666667,-0.0009022779607516154,9.678551706383436e-8
10.0,0.4228398233937855,0.6996879802536639,13.783333333333333,-0.0009022780855607323,9.678577771501435e-8
10.0,0.42193754530822475,0.6996878834678861,13.7875,-0.0009022782103702201,9.678603811090685e-8
10.0,0.42103526709785455,0.6996877866818481,13.791666666666666,-0.0009022783351800778,9.678629825175636e-8
10.0,0.42013298876267446,0.6996876898955499,13.795833333333333,-0.0009022784599903057,9.678655812115393e-8
10.0,0.41923071030268416,0.6996875931089918,13.799999999999999,-0.0009022785848009033,9.678681773599486e-8
10.0,0.41832843171788325,0.699687496322174,13.804166666666667,-0.0009022787096118702,9.678707708819486e-8
10.0,0.4174261530082714,0.6996873995350968,13.808333333333334,-0.000902278834423206,9.678733616966953e-8
10.0,0.4165238741738482,0.6996873027477607,13.8125,-0.0009022789592349105,9.678759500563818e-8
10.0,0.4156215952146133,0.6996872059601656,13.816666666666666,-0.0009022790840469834,9.678785357136264e-8
10.0,0.4147193161305663,0.699687109172312,13.820833333333333,-0.0009022792088594242,9.678811187540879e-8
10.0,0.41381703692170685,0.6996870123842002,13.825,-0.0009022793336722327,9.678836992634133e-8
10.0,0.41291475758803464,0.6996869155958303,13.829166666666666,-0.0009022794584854082,9.678862771607339e-8
10.0,0.4120124781295492,0.6996868188072026,13.833333333333334,-0.0009022795832989509,9.678888523651532e-8
10.0,0.41111019854625025,0.6996867220183174,13.8375,-0.0009022797081128602,9.678914250455738e-8
10.0,0.4102079188381374,0.6996866252291749,13.841666666666667,-0.0009022798329271357,9.678939952043626e-8
10.0,0.4093056390052103,0.6996865284397754,13.845833333333333,-0.0009022799577417771,9.678965626773481e-8
10.0,0.4084033590474685,0.6996864316501191,13.85,-0.0009022800825567843,9.678991275501444e-8
10.0,0.4075010789649117,0.6996863348602064,13.854166666666666,-0.0009022802073721567,9.679016899083693e-8
10.0,0.40659879875753957,0.6996862380700374,13.858333333333333,-0.0009022803321878941,9.67904249671096e-8
